,Country,LifeExpectancy,uhcCoverage,HHExpdt10,HHExpdt25,Doctors,Nurses,Dentists,Pharmacists
169,Uganda,64.47,44,,,0.95,15.57,0.072,0.012
170,Ukraine,72.2,65,,,,,,
171,United Arab Emirates,75.31,72,,,22.11,49.83,5.31,5.67
172,United Kingdom of Great Britain and Northern Ireland,80.65,85,,,27.47,82.94,5.26,8.26
173,United Republic of Tanzania,65.36,41,,,,,,
174,United States of America,78.56,83,,,25.78,,,
175,Uruguay,77.03,79,,,,,,
176,Uzbekistan,71.45,72,,,,,,
177,Vanuatu,64.64,49,,,,,,
178,Venezuela (Bolivarian Republic of),74.66,73,,,,,,
179,Viet Nam,73.16,73,,,7.96,14.23,,3.4
180,Yemen,67.47,40,,,,7.24,,
181,Zambia,60.5,54,,,,,,
182,Zimbabwe,58.48,54,,,1.82,13.83,0.048,0.1
